"ts","soc"
2024-02-20 09:35:00.000,100
2024-02-20 09:40:00.000,100
2024-02-20 09:45:00.000,100
2024-02-20 09:50:00.000,99
2024-02-20 09:55:00.000,99
2024-02-20 10:00:00.000,99
2024-02-20 10:05:00.000,99
2024-02-20 10:10:00.000,99
2024-02-20 10:15:00.000,99
2024-02-20 10:20:00.000,99
2024-02-20 10:25:00.000,99
2024-02-20 10:30:00.000,99
2024-02-20 10:35:00.000,99
2024-02-20 10:40:00.000,100
2024-02-20 10:45:00.000,100
2024-02-20 10:50:00.000,100
2024-02-20 10:52:00.000,100
2024-02-20 10:55:00.000,100
2024-02-20 11:00:00.000,100
2024-02-20 11:05:00.000,100
2024-02-20 11:10:00.000,100
2024-02-20 11:15:00.000,100
2024-02-20 11:20:00.000,100
2024-02-20 11:25:00.000,100
2024-02-20 11:30:00.000,100
2024-02-20 11:35:00.000,100
2024-02-20 11:40:00.000,100
2024-02-20 11:45:00.000,100
2024-02-20 11:50:00.000,100
2024-02-20 11:55:00.000,100
2024-02-20 12:00:00.000,100
2024-02-20 12:04:00.000,100
2024-02-20 12:05:00.000,100
2024-02-20 12:10:00.000,100
2024-02-20 12:15:00.000,100
2024-02-20 12:20:00.000,100
2024-02-20 12:25:00.000,100
2024-02-20 12:30:00.000,100
2024-02-20 12:35:00.000,100
2024-02-20 12:40:00.000,100
2024-02-20 12:45:00.000,100
2024-02-20 12:50:00.000,100
2024-02-20 12:55:00.000,100
2024-02-20 13:00:00.000,100
2024-02-20 13:05:00.000,100
2024-02-20 13:10:00.000,100
2024-02-20 13:15:00.000,100
2024-02-20 13:20:00.000,100
2024-02-20 13:25:00.000,100
2024-02-20 13:30:00.000,100
2024-02-20 13:31:00.000,100
2024-02-20 13:35:00.000,100
2024-02-20 13:40:00.000,100
2024-02-20 13:45:00.000,100
2024-02-20 13:50:00.000,100
2024-02-20 13:52:00.000,100
2024-02-20 13:55:00.000,100
2024-02-20 14:00:00.000,100
2024-02-20 14:05:00.000,100
2024-02-20 14:10:00.000,100
2024-02-20 14:15:00.000,100
2024-02-20 14:20:00.000,100
2024-02-20 14:25:00.000,100
2024-02-20 14:30:00.000,100
2024-02-20 14:35:00.000,100
2024-02-20 14:40:00.000,100
2024-02-20 14:45:00.000,100
2024-02-20 14:47:00.000,100
2024-02-20 14:50:00.000,100
2024-02-20 14:55:00.000,100
2024-02-20 15:00:00.000,100
2024-02-20 15:05:00.000,100
2024-02-20 15:06:00.000,100
2024-02-20 15:10:00.000,100
2024-02-20 15:15:00.000,100
2024-02-20 15:20:00.000,100
2024-02-20 15:25:00.000,100
2024-02-20 15:30:00.000,99
2024-02-20 15:35:00.000,99
2024-02-20 15:40:00.000,99
2024-02-20 15:45:00.000,99
2024-02-20 15:49:00.000,99
2024-02-20 15:50:00.000,99
2024-02-20 15:53:00.000,98
2024-02-20 15:55:00.000,98
2024-02-20 16:00:00.000,98
2024-02-20 16:01:00.000,98
2024-02-20 16:05:00.000,97
2024-02-20 16:10:00.000,97
2024-02-20 16:15:00.000,96
